id,second-hand-resource,longitude,court,address,house-type,latitude,url,average-price,second-hand-trading,build-time,district,,
590099055e986a05ba0d95e9,111,116.30882263183594,北洼西里,八里庄,住宅,39.94395446777344,https://m.fang.com/xiaoqu/bj/1010198387.html,100542,256,2001,海淀,,
5900995a5e986a05ba0d95f6,2,116.32527923583984,中关村东大院,淀区中关村南路,住宅,39.988426208496094,https://m.fang.com/xiaoqu/bj/1010302643.html,101175,51,1990,海淀,,
590099815e986a05ba0d95fe,196,116.35153198242188,交大嘉园,西直门地铁附近,住宅,39.954872131347656,https://m.fang.com/xiaoqu/bj/1010014153.html,112498,174,2002,海淀,,
590099825e986a05ba0d95ff,205,116.2919921875,世纪城三期垂虹园,蓝靛厂中路,住宅,39.96708679199219,https://m.fang.com/xiaoqu/bj/1010174511.html,115096,107,2014,海淀,,
5900999d5e986a05ba0d9607,226,116.2763671875,润千秋佳苑,东北旺路北,住宅,40.03997802734375,https://m.fang.com/xiaoqu/bj/1010088440.html,95440,90,2006,海淀,,
590099ae5e986a05ba0d960d,419,116.35569763183594,逸成东苑,清华大学东北侧,住宅,40.01935577392578,https://m.fang.com/xiaoqu/bj/1010047914.html,96256,422,2003,海淀,,
590099af5e986a05ba0d960e,1,116.30659484863281,莲宝路7号院,莲宝路,住宅,39.89646530151367,https://m.fang.com/xiaoqu/bj/1010182863.html,69790,NULL,2000,海淀,,
590099c55e986a05ba0d9616,94,116.32789611816406,褐石园,清华大学北门,住宅,40.020896911621094,https://m.fang.com/xiaoqu/bj/1010315669.html,92230,68,2005,海淀,,
590099eb5e986a05ba0d9622,142,116.28612518310547,荷塘月舍,海淀圆明园西路,住宅,40.02639389038086,https://m.fang.com/xiaoqu/bj/1010052673.html,73007,34,2004,海淀,,
590099f25e986a05ba0d9624,142,116.28612518310547,天秀花园荷塘月舍,海淀圆明园西路,住宅,40.02639389038086,https://m.fang.com/xiaoqu/bj/1010052673.html,73007,34,2004,海淀,,
59009aeb5e986a05ba0d9647,55,116.3275375366211,科源小区,北四环中关村北一街,住宅,39.99300765991211,https://m.fang.com/xiaoqu/bj/1010216621.html,129642,73,1980,海淀,,
59009b0d5e986a05ba0d964b,53,116.31377410888672,普惠北里,玉渊潭南路,住宅,39.92040252685547,https://m.fang.com/xiaoqu/bj/1010308725.html,99432,98,1985,海淀,,
59009b305e986a05ba0d964e,205,116.2919921875,垂虹园,蓝靛厂中路,住宅,39.96708679199219,https://m.fang.com/xiaoqu/bj/1010174511.html,115096,107,2014,海淀,,
59009b575e986a05ba0d9650,106,116.3316650390625,增光佳苑,甘家口大厦西300米,住宅,39.93463134765625,https://m.fang.com/xiaoqu/bj/1010040633.html,94466,72,2005,海淀,,
59009b5c5e986a05ba0d9652,140,116.30938720703125,世纪新景园,北洼路9号院,住宅,39.9458122253418,https://m.fang.com/xiaoqu/bj/1010037639.html,101936,18,2004,海淀,,
