id,average-price,build-time,second-hand-resource,district,latitude,second-hand-trading,address,court,url,longtitude,house-type
58ffbf325e986a05d1cdbb23,119418,1983,12,东城,39.945716857910156,61,东直门外大街南侧紧邻西中街小学,十字坡东里,https://m.fang.com/xiaoqu/bj/1010572545.html,116.44637298583984,住宅
58ffbf4a5e986a05d1cdbb24,129884,1985,1,东城,39.93476486206055,2,华侨大厦美术馆西东皇城根北街,东皇城根北街,https://m.fang.com/xiaoqu/bj/1010673833.html,116.41419982910156,住宅
58ffbf575e986a05d1cdbb25,30642,1998,12,东城,39.86798858642578,NULL,崇文区沙子口路50号,沙子口路50号楼,https://m.fang.com/xiaoqu/bj/1010832037.html,116.41214752197266,住宅
58ffbf655e986a05d1cdbb26,75582,2008,314,东城,39.94815444946289,3,东直门内大街9号(东直门北中街西侧),Naga上院,https://m.fang.com/xiaoqu/bj/1010091907.html,116.4341812133789,住宅
58ffbf685e986a05d1cdbb27,110630,2001,12,东城,39.89208221435547,23,光明桥北约200米路西夕照寺街,板厂新里,https://m.fang.com/xiaoqu/bj/1010217581.html,116.45018768310547,住宅
58ffbfd65e986a05d1cdbb28,101209,1999,1,东城,39.959964752197266,72,青年湖南门西侧鼓楼外大街东侧,青年湖南街,https://m.fang.com/xiaoqu/bj/1010417347.html,116.40275573730469,住宅
58ffbfe55e986a05d1cdbb29,118940,NULL,1,东城,39.9418830871582,11,东棉花胡同2号院,东棉花胡同2号院,https://m.fang.com/xiaoqu/bj/1010122245.html,116.41477966308594,住宅
58ffc0585e986a05d1cdbb2a,130058,1991,1,东城,39.92094421386719,NULL,东华门大街20号楼,东华门,https://m.fang.com/xiaoqu/bj/1010397353.html,116.41107940673828,住宅
58ffc07d5e986a05d1cdbb2b,96646,2004,3,东城,39.94111633300781,10,东直门外东中街46号,东中公寓,https://m.fang.com/xiaoqu/bj/1010302743.html,116.44374084472656,住宅
58ffc0875e986a05d1cdbb2c,80872,2007,1,东城,39.905235290527344,NULL,忠实里南街东花市,金世纪嘉园三期,https://m.fang.com/xiaoqu/bj/1010316837.html,116.45301818847656,住宅
