id,average-price,build-time,second-hand-resource,district,latitude,second-hand-trading,address,court,url,longitude,house-type
58ffb9b15e986a05d1cdbaa9,94596,2000,12,东城,39.88298458392298,39,体育馆路法华南里26号,体育馆路,https://m.fang.com/xiaoqu/bj/1010644863.html,116.41623664285348,住宅
58ffb9b95e986a05d1cdbaaa,116471,2001,2,东城,39.88690394618821,39,培新街幸福北里(培新小学附近),幸福北里,https://m.fang.com/xiaoqu/bj/1010215295.html,116.42763759014166,住宅
58ffb9c25e986a05d1cdbaab,85407,1990,1,东城,39.93947182359455,NULL,东直门外大街34号,东直门外大街34号,https://m.fang.com/xiaoqu/bj/1010663125.html,116.4388815579103,住宅
58ffb9c35e986a05d1cdbaac,73114,1988,3,东城,39.86640732159415,101,景泰路与桃杨路交叉点东南角,李村东里,https://m.fang.com/xiaoqu/bj/1010302685.html,116.40808863083383,住宅
58ffb9c55e986a05d1cdbaad,43601,2000,1,东城,39.95681360902223,NULL,东土城路1号院,东土城路1号,https://m.fang.com/xiaoqu/bj/1010351625.html,116.42510457338786,住宅
58ffb9d35e986a05d1cdbaae,66818,2001,42,东城,39.86261996937782,77,永外管村路12号,建予园,https://m.fang.com/xiaoqu/bj/1010000518.html,116.38991875210323,住宅
58ffb9de5e986a05d1cdbaaf,60248,2000,16,东城,39.858677878112346,10,永外沙子口路55号(宝华里东南方),宝华家园,https://m.fang.com/xiaoqu/bj/1010000946.html,116.39604066011773,住宅
58ffb9e95e986a05d1cdbab0,96580,1980,14,东城,39.87169426061866,NULL,永内东街(永定门桥东侧),永内东街西里,https://m.fang.com/xiaoqu/bj/1010348507.html,116.40081451605052,住宅
58ffb9f75e986a05d1cdbab1,108027,1990,49,东城,39.88412116200282,14,幸福大街南端东侧,幸福南里,https://m.fang.com/xiaoqu/bj/1010215303.html,116.42678506701009,住宅
58ffb9f85e986a05d1cdbab2,107275,2000,74,东城,39.892016358633775,48,广渠门内大街与夕照寺街交汇处西南角(广渠门内地铁站南侧),广渠门内大街,https://m.fang.com/xiaoqu/bj/1010347629.html,116.42780853731622,住宅
58ffb9f95e986a05d1cdbab3,90420,1989,8,东城,39.912114547293015,9,朝阳门南小街阳照胡同,阳照胡同,https://m.fang.com/xiaoqu/bj/1010356211.html,116.42278184515244,住宅
58ffba005e986a05d1cdbab4,65524,2000,9,东城,39.89152775838035,NULL,两广路广渠门内大街12号,广渠门内大街12号,https://m.fang.com/xiaoqu/bj/1010376547.html,116.42938837739386,住宅
58ffba0c5e986a05d1cdbab5,108075,1980,91,东城,39.94370961216601,194,东直门外小街与春秀路交叉路口北侧(2号线东直门地铁站东600米),胡家园小区,https://m.fang.com/xiaoqu/bj/1010198139.html,116.43741680011418,住宅
58ffba0d5e986a05d1cdbab6,111857,1995,1,东城,39.94069504625313,2,鼓楼东大街宝钞胡同,宝钞胡同,https://m.fang.com/xiaoqu/bj/1010326423.html,116.3937511503304,住宅
58ffba0e5e986a05d1cdbab7,125022,1992,111,东城,39.93902054352911,125,东直门外大街春秀路西侧,春秀路小区,https://m.fang.com/xiaoqu/bj/1010198409.html,116.43778558166451,住宅
58ffba125e986a05d1cdbab8,83324,2000,92,东城,39.96229316915607,25,青年沟路和和平里西街交汇处东北,和平街八区,https://m.fang.com/xiaoqu/bj/1010572623.html,116.41386686952278,住宅
58ffba135e986a05d1cdbab9,91089,1991,46,东城,39.958648712413066,63,北京市东城区和平里兴化西里加油站东口东侧,兴化西里,https://m.fang.com/xiaoqu/bj/1010196665.html,116.40442979955309,住宅
58ffba145e986a05d1cdbaba,109077,1991,24,东城,39.95072423024715,85,东直门北大街与香河园路交汇处东南角,香河园北里,https://m.fang.com/xiaoqu/bj/1010215983.html,116.42906116038502,住宅
58ffba165e986a05d1cdbabb,119205,1980,16,东城,39.93796085450731,78,东直门外大街南侧(东方银座东侧),十字坡西里,https://m.fang.com/xiaoqu/bj/1010443503.html,116.43196733924897,住宅
58ffba175e986a05d1cdbabc,58360,2000,40,东城,39.9516870879246,29,和平里东土城路9号院,东土城路9号院,https://m.fang.com/xiaoqu/bj/1010200623.html,116.42561901848363,住宅
58ffba185e986a05d1cdbabd,66284,2000,44,东城,39.95817422834997,18,青年沟路北侧兴化路,兴化路,https://m.fang.com/xiaoqu/bj/1010506595.html,116.40703166092919,住宅
58ffba215e986a05d1cdbabf,96692,2000,6,东城,39.89558877541103,2,广渠门桥东北角忠实里南街,忠实里南街小区,https://m.fang.com/xiaoqu/bj/1010635023.html,116.43902011852184,住宅
58ffba265e986a05d1cdbac0,101391,1989,12,东城,39.92369471355142,2,王府井五四大街北侧沙滩北街,沙滩北街小区,https://m.fang.com/xiaoqu/bj/1010423947.html,116.39675368662914,住宅
58ffba285e986a05d1cdbac1,95366,1985,62,东城,39.94658864617311,39,旧鼓楼大街路东中绦胡同,中绦胡同甲2号院,https://m.fang.com/xiaoqu/bj/1010398585.html,116.39220478291779,住宅
58ffba315e986a05d1cdbac2,101109,2003,28,东城,39.891963226666306,18,东二环广渠门桥西南角,东方财富公寓,https://m.fang.com/xiaoqu/bj/1010083704.html,116.43062733623232,住宅
58ffba325e986a05d1cdbac3,102036,1998,93,东城,39.87778926038301,13,天坛东门东南角,东四块玉南街,https://m.fang.com/xiaoqu/bj/1010345703.html,116.41838336422013,住宅
58ffba335e986a05d1cdbac4,112233,1995,28,东城,39.9576752573076,76,地铁和平里北街站东侧,和平里一区,https://m.fang.com/xiaoqu/bj/1010376113.html,116.41340863115857,住宅
58ffba355e986a05d1cdbac5,98961,2000,31,东城,39.92980627266289,9,东直门东四十条东门仓5号院,东门仓胡同,https://m.fang.com/xiaoqu/bj/1010637305.html,116.42539093923132,住宅
